index,value,weight,type
5,4845.15,1,low
13,5048.39,1,high
14,4920.31,1,low
28,5056.82,1,low
31,5189.26,1,high
45,5264.85,1,high
45,5264.85,1,high
45,5264.85,1,high
60,4953.56,1,low
60,4953.56,1,low
60,4953.56,1,low
84,5341.88,1,high
89,5191.68,1,low
89,5191.68,1,low
102,5505.53,1,high
109,5446.53,1,low
119,5669.67,1,high
119,5669.67,1,high
119,5669.67,1,high
126,5390.95,1,low
131,5566.16,1,high
133,5119.26,1,low
133,5119.26,1,low
133,5119.26,1,low
133,5119.26,1,low
148,5651.62,1,high
148,5651.62,1,high
156,5402.62,1,low
156,5402.62,1,low
170,5767.37,1,high
174,5674.0,1,low
185,5878.46,1,high
185,5878.46,1,high
189,5762.41,1,low
197,5696.51,1,low
197,5696.51,1,low
202,6017.31,1,high
206,5853.01,1,low
220,6099.97,1,high
220,6099.97,1,high
220,6099.97,1,high
222,6029.89,1,low
230,5832.3,1,low
239,6021.04,1,high
243,5773.31,1,low
243,5773.31,1,low
243,5773.31,1,low
251,6128.18,1,high
251,6128.18,1,high
257,5923.93,1,low
257,5923.93,1,low
264,6003.0,1,low
268,6147.43,1,high
268,6147.43,1,high
268,6147.43,1,high
284,5504.65,1,low
284,5504.65,1,low
292,5786.95,1,high
