price,top,bottom,type,score
5417.51645,5419.3729,5415.66,resistance,4397.013076253962
5447.21965,5449.0761,5445.3632,resistance,2906.356300828389
5484.34865,5486.2051,5482.4922,resistance,2805.615347630783
5592.02275,5593.879199999999,5590.1663,resistance,6396.465628586849
5632.8646499999995,5634.7211,5631.0082,resistance,10723.233201287323
5668.137199999999,5669.993649999999,5666.28075,resistance,2341.944850113389
5694.1275,5695.98395,5692.271049999999,resistance,2967.378256095903
5725.68715,5727.5436,5723.8306999999995,resistance,2211.914959926882
5759.10325,5760.959699999999,5757.2468,resistance,1627.1031715264921
